SiteCode,DateTime,DurationNS,ScaledValue,mod_datetime,species
CLDP0001,2024-08-08 15:00:00+00:00,3600000000,8.677982083333335,2024-08-08 16:00:00+00:00,IPM25
CLDP0001,2024-08-08 16:00:00+00:00,3600000000,7.948003333333333,2024-08-08 17:00:00+00:00,IPM25
CLDP0001,2024-08-08 17:00:00+00:00,3600000000,4.665275833333334,2024-08-08 18:00:00+00:00,IPM25
CLDP0001,2024-08-08 18:00:00+00:00,3600000000,9.557439583333334,2024-08-08 19:00:00+00:00,IPM25
CLDP0001,2024-08-08 19:00:00+00:00,3600000000,9.081429583333335,2024-08-08 20:00:00+00:00,IPM25
CLDP0001,2024-08-08 20:00:00+00:00,3600000000,7.860928333333334,2024-08-08 21:00:00+00:00,IPM25
CLDP0001,2024-08-08 21:00:00+00:00,3600000000,6.287773333333334,2024-08-08 22:00:00+00:00,IPM25
CLDP0001,2024-08-08 22:00:00+00:00,3600000000,7.303003333333333,2024-08-08 23:00:00+00:00,IPM25
CLDP0001,2024-08-08 23:00:00+00:00,3600000000,6.152807083333334,2024-08-09 00:00:00+00:00,IPM25
CLDP0001,2024-08-09 00:00:00+00:00,3600000000,3.35777375,2024-08-09 01:00:00+00:00,IPM25
CLDP0001,2024-08-09 01:00:00+00:00,3600000000,3.6938000000000004,2024-08-09 02:00:00+00:00,IPM25
CLDP0001,2024-08-09 02:00:00+00:00,3600000000,4.39664375,2024-08-09 03:00:00+00:00,IPM25
CLDP0001,2024-08-09 03:00:00+00:00,3600000000,2.884525625,2024-08-09 04:00:00+00:00,IPM25
CLDP0001,2024-08-09 04:00:00+00:00,3600000000,1.9855550000000002,2024-08-09 05:00:00+00:00,IPM25
CLDP0001,2024-08-09 05:00:00+00:00,3600000000,2.3369768750000004,2024-08-09 06:00:00+00:00,IPM25
CLDP0001,2024-08-09 06:00:00+00:00,3600000000,2.758205,2024-08-09 07:00:00+00:00,IPM25
CLDP0001,2024-08-09 07:00:00+00:00,3600000000,1.9935875,2024-08-09 08:00:00+00:00,IPM25
CLDP0001,2024-08-09 08:00:00+00:00,3600000000,2.9186637500000003,2024-08-09 09:00:00+00:00,IPM25
